# Ghost Glove Flex Calibration — 50 mm tube
t_s,flex_ring,flex_middle,flex_index,flex_thumb
13.537,4709,6663,3705,6199
13.568,4694,6867,3913,6305
13.598,4575,6633,3812,6325
13.628,4682,6648,3610,6265
13.657,4831,6734,3778,6292
13.718,4672,6667,3886,6386
13.747,4642,6684,3731,6302
13.778,4797,6611,3777,6217
13.808,4731,6645,4035,6322
13.837,4554,6698,3835,6298
13.867,4711,6732,3671,6215
13.897,4704,6678,3874,6282
13.943,4596,6580,3822,6355
13.987,4693,6501,3586,6274
14.047,4854,6825,3796,6295
14.049,4686,6774,3954,6375
14.078,4681,6650,3751,6298
14.107,4775,6499,3787,6217
14.137,4710,6813,4037,6312
14.167,4530,6555,3842,6302
14.227,4696,6590,3659,6229
14.257,4724,6794,3868,6302
14.287,4600,6792,3842,6360
14.318,4670,6457,3606,6272
14.348,4838,6796,3788,6272
14.378,4705,6809,4004,6357
14.407,4655,6673,3771,6287
14.437,4762,6797,3773,6226
14.498,4714,6844,4000,6307
14.527,4529,6629,3833,6304
14.557,4693,6631,3635,6244
14.619,4757,6815,3856,6298
14.619,4622,6803,3810,6365
14.647,4654,6710,3640,6282
14.678,4868,6824,3801,6282
14.737,4719,6834,4009,6364
14.767,4608,6691,3797,6301
14.797,4728,6795,3760,6206
14.829,4706,6913,3958,6302
14.857,4530,6783,3812,6287
14.888,4665,6790,3628,6238
14.918,4776,6891,3831,6277
14.948,4646,6824,3833,6366
15.008,4680,6668,3693,6299
15.037,4844,6751,3790,6265
15.097,4847,6770,3797,6286
15.098,4684,6788,3942,6363
15.127,4682,6635,3769,6294
15.157,4793,6708,3783,6212
15.225,4680,6645,4023,6317
15.247,4545,6624,3836,6310
15.277,4696,6790,3635,6228
15.308,4691,6925,3850,6300
15.337,4622,6840,3828,6373
15.367,4678,6740,3605,6271
15.397,4856,6827,3777,6290
15.458,4715,6809,4008,6361
15.505,4654,6669,3770,6307
15.517,4780,6787,3782,6239
15.547,4736,6847,3985,6312
15.578,4551,6772,3817,6309
15.608,4696,6763,3595,6234
15.637,4768,6914,3852,6311
15.667,4628,6751,3822,6367
15.727,4679,6570,3628,6276
15.758,4867,6813,3810,6279
15.787,4729,6813,3992,6350
15.828,4596,6647,3792,6301
15.847,4730,6581,3763,6214
15.877,4721,6917,3968,6303
15.938,4531,6767,3818,6293
15.968,4687,6778,3638,6249
15.997,4779,6896,3819,6300
16.027,4642,6807,3842,6380
16.057,4698,6673,3666,6293
16.087,4852,6815,3812,6292
16.148,4686,6808,3990,6350
16.149,4577,6694,3822,6283
16.208,4732,6777,3789,6220
16.237,4706,6872,3947,6293
16.267,4543,6558,3832,6328
16.297,4715,6540,3594,6279
16.327,4823,6792,3820,6289
16.357,4666,6821,3831,6376
16.387,4678,6707,3692,6305
16.429,4845,6804,3788,6274
16.477,4690,6786,4014,6339
16.507,4529,6716,3804,6317
16.545,4738,6784,3782,6224
16.567,4705,6903,3924,6301
16.597,4567,6798,3839,6337
16.628,4684,6795,3601,6260
16.657,4852,6872,3801,6294
16.687,4672,6819,3858,6395
16.750,4679,6680,3737,6293
16.779,4813,6792,3797,6250
16.807,4724,6820,4019,6348
16.837,4568,6736,3818,6305
16.868,4722,6784,3739,6221
16.898,4698,6900,3889,6302
16.927,4582,6797,3838,6363
16.988,4707,6785,3587,6286
