14.14,-0.3937,0.1013
14.16,-0.4066,0.1013
14.18,-0.4179,0.1013
14.20,-0.4275,0.1013
14.22,-0.4355,0.1013
14.24,-0.4418,0.1013
14.26,-0.4463,0.1013
14.28,-0.4490,0.1013
14.30,-0.4500,0.1013
14.32,-0.4492,0.1013
14.34,-0.4466,0.1013
14.36,-0.4423,0.1013
14.38,-0.4362,0.1013
14.40,-0.4284,0.1013
14.42,-0.4189,0.1013
14.44,-0.4077,0.1013
14.46,-0.3950,0.1013
14.48,-0.3806,0.1013
14.50,-0.3648,0.1013
14.52,-0.3475,0.1013
14.54,-0.3289,0.1013
14.56,-0.3090,0.1013
14.58,-0.2878,0.1013
14.60,-0.2655,0.1013
14.62,-0.2422,0.1013
14.64,-0.2179,0.1013
14.66,-0.1927,0.1013
14.68,-0.1668,0.1013
14.70,-0.1402,0.1013
14.72,-0.1131,0.1013
14.74,-0.0855,0.1013
14.76,-0.0575,0.1013
14.78,-0.0294,0.1013
14.80,-0.0011,0.1013
14.82,0.0271,0.1013
14.84,0.0553,0.1013
14.86,0.0833,0.1013
14.88,0.1109,0.1013
14.90,0.1381,0.1013
14.92,0.1647,0.1013
14.94,0.1907,0.1013
14.96,0.2159,0.1013
14.98,0.2403,0.1013
15.00,0.2637,0.1013
15.02,0.2861,0.1013
15.04,0.3074,0.1013
15.06,0.3274,0.1013
15.08,0.3462,0.1013
15.10,0.3636,0.1013
15.12,0.3796,0.1013
15.14,0.3940,0.1013
15.16,0.4070,0.1013
15.18,0.4183,0.1013
15.20,0.4279,0.1013
15.22,0.4359,0.1013
15.24,0.4422,0.1013
15.26,0.4467,0.1013
15.28,0.4494,0.1013
15.30,0.4504,0.1013
    [REP 4] start=13.32s  deepest=14.32s  end=15.32s
15.32,0.4496,0.1013
15.34,0.4470,0.1013
15.36,0.4427,0.1013
15.38,0.4366,0.1013
15.40,0.4288,0.1013
15.42,0.4193,0.1013
15.44,0.4082,0.1013
15.46,0.3954,0.1013
15.48,0.3811,0.1013
15.50,0.3652,0.1013
15.52,0.3480,0.1013
15.54,0.3293,0.1013
15.56,0.3094,0.1013
15.58,0.2882,0.1013
15.60,0.2659,0.1013
15.62,0.2426,0.1013
15.64,0.2183,0.1013
15.66,0.1931,0.1013
15.68,0.1672,0.1013
15.70,0.1406,0.1013
15.72,0.1135,0.1013
15.74,0.0859,0.1013
15.76,0.0580,0.1013
15.78,0.0298,0.1013
15.80,0.0016,0.1013
15.82,-0.0267,0.1013
15.84,-0.0549,0.1013
15.86,-0.0828,0.1013
15.88,-0.1104,0.1013
15.90,-0.1376,0.1013
15.92,-0.1643,0.1013
15.94,-0.1902,0.1013
15.96,-0.2155,0.1013
15.98,-0.2399,0.1013
16.00,-0.2633,0.1013
16.02,-0.2857,0.1013
16.04,-0.3069,0.1013
16.06,-0.3270,0.1013
16.08,-0.3458,0.1013
