# Ghost Glove BLE Inter-Arrival Time Log
# arrival_ms       = ms since recording started (browser clock)
# esp_timestamp_ms = ms since BLE connect (ESP32 clock)
# interarrival_ms  = time between consecutive packet arrivals (blank for first packet)
# target: 20 ms (50 Hz)
seq,arrival_ms,esp_timestamp_ms,interarrival_ms
453,15475,74450,30.00
454,15507,74484,32.00
455,15535,74518,28.00
456,15595,74553,60.00
457,15625,74587,30.00
458,15655,74621,30.00
459,15685,74655,30.00
460,15715,74688,30.00
461,15745,74722,30.00
462,15776,74756,31.00
463,15807,74790,31.00
464,15865,74824,58.00
465,15896,74859,31.00
466,15924,74893,28.00
467,15955,74926,31.00
468,15985,74960,30.00
469,16018,74994,33.00
470,16075,75033,57.00
471,16105,75068,30.00
472,16138,75102,33.00
473,16168,75136,30.00
474,16196,75169,28.00
475,16225,75203,29.00
476,16255,75237,30.00
477,16315,75271,60.00
478,16345,75306,30.00
479,16376,75340,31.00
480,16405,75374,29.00
481,16465,75407,60.00
482,16466,75441,1.00
483,16495,75475,29.00
484,16555,75509,60.00
485,16585,75544,30.00
486,16616,75578,31.00
487,16644,75612,28.00
488,16707,75646,63.00
489,16707,75679,0.00
490,16737,75713,30.00
491,16767,75747,30.00
492,16825,75782,58.00
493,16855,75816,30.00
494,16895,75850,40.00
495,16915,75884,20.00
496,16945,75917,30.00
497,16975,75951,30.00
